,Device,Time,Longitude,Latitude
933183,346,2014-02-02 06:50:33.295684,41.9085998,12.52523814
933184,346,2014-02-02 06:50:33.296375,41.9085998,12.52523814
933217,346,2014-02-02 06:50:45.430813,41.90865689,12.52440925
933249,346,2014-02-02 06:50:58.670209,41.90905284,12.52406194
933250,346,2014-02-02 06:50:58.670901,41.90905284,12.52406194
933266,346,2014-02-02 06:51:02.890347,41.90920534,12.52458716
933311,346,2014-02-02 06:51:17.970066,41.90955241,12.52620184
933353,346,2014-02-02 06:51:32.977285,41.90965142,12.52740915
933397,346,2014-02-02 06:51:47.966402,41.90989175,12.52805056
933437,346,2014-02-02 06:52:03.330292,41.91020357,12.5288394
933484,346,2014-02-02 06:52:18.171352,41.90995478,12.52948635
933525,346,2014-02-02 06:52:32.963378,41.90968646,12.52972707
933569,346,2014-02-02 06:52:47.895906,41.90974328,12.52978108
933610,346,2014-02-02 06:53:03.115916,41.90974664,12.52979075
933653,346,2014-02-02 06:53:17.955813,41.90974666,12.52979249
933694,346,2014-02-02 06:53:33.174349,41.90974658,12.52979324
933737,346,2014-02-02 06:53:48.161197,41.90974657,12.52979407
933783,346,2014-02-02 06:54:02.957427,41.90974561,12.52979421
933825,346,2014-02-02 06:54:17.958491,41.90974509,12.52979389
933866,346,2014-02-02 06:54:32.958450,41.909745,12.52979416
933908,346,2014-02-02 06:54:47.947830,41.90974486,12.52979418
933948,346,2014-02-02 06:55:03.133223,41.90974458,12.52979416
933995,346,2014-02-02 06:55:17.954243,41.90974448,12.52979425
934037,346,2014-02-02 06:55:32.952769,41.9097445,12.52979409
934083,346,2014-02-02 06:55:48.195609,41.90974448,12.52979408
934128,346,2014-02-02 06:56:03.149422,41.90974448,12.52979408
934170,346,2014-02-02 06:56:17.946296,41.90974442,12.52979422
934212,346,2014-02-02 06:56:33.155593,41.90974443,12.52979443
934259,346,2014-02-02 06:56:48.199748,41.90974453,12.5297945
934300,346,2014-02-02 06:57:02.958164,41.90974462,12.52979441
934318,346,2014-02-02 06:57:11.522864,41.90974466,12.52979442
934347,346,2014-02-02 06:57:17.998128,41.90974462,12.52979469
934390,346,2014-02-02 06:57:32.957832,41.90974492,12.52979533
934433,346,2014-02-02 06:57:48.077976,41.90974466,12.52979562
934475,346,2014-02-02 06:58:02.898241,41.90974489,12.52979577
934523,346,2014-02-02 06:58:17.942045,41.90974515,12.52979606
934573,346,2014-02-02 06:58:32.943200,41.90974525,12.52979649
934617,346,2014-02-02 06:58:48.104519,41.90974544,12.52979699
934662,346,2014-02-02 06:59:03.159298,41.90974562,12.52979771
934704,346,2014-02-02 06:59:17.951991,41.90974586,12.52979829
934752,346,2014-02-02 06:59:33.167576,41.90974585,12.52979866
934794,346,2014-02-02 06:59:48.177369,41.90974573,12.52979889
934840,346,2014-02-02 07:00:03.238484,41.90974652,12.52980109
934886,346,2014-02-02 07:00:17.955803,41.90974665,12.52980205
934926,346,2014-02-02 07:00:33.230722,41.90974683,12.52980305
934970,346,2014-02-02 07:00:48.200801,41.90974682,12.52980423
935014,346,2014-02-02 07:01:03.211704,41.90974698,12.52980496
935055,346,2014-02-02 07:01:17.948863,41.90974725,12.52980575
935108,346,2014-02-02 07:01:33.184935,41.90974749,12.52980599
935153,346,2014-02-02 07:01:48.161913,41.90974736,12.52980656
935197,346,2014-02-02 07:02:03.184583,41.90974728,12.52980685
935243,346,2014-02-02 07:02:18.114164,41.90974711,12.52980725
935289,346,2014-02-02 07:02:33.183608,41.90974727,12.52980797
935332,346,2014-02-02 07:02:48.142330,41.90974794,12.52980921
935378,346,2014-02-02 07:03:03.152912,41.90974807,12.5298093
935419,346,2014-02-02 07:03:17.950798,41.90975456,12.52980634
935464,346,2014-02-02 07:03:33.166151,41.90975459,12.52980651
935510,346,2014-02-02 07:03:48.114214,41.90975475,12.52980651
935555,346,2014-02-02 07:04:02.891758,41.90975475,12.52980651
935601,346,2014-02-02 07:04:18.785961,41.90975475,12.52980651
935646,346,2014-02-02 07:04:32.945499,41.90975475,12.52980651
935689,346,2014-02-02 07:04:48.136604,41.90975475,12.52980651
935738,346,2014-02-02 07:05:03.181547,41.90975475,12.52980651
935781,346,2014-02-02 07:05:18.348875,41.90975475,12.52980651
935826,346,2014-02-02 07:05:33.180550,41.90975475,12.52980651
935873,346,2014-02-02 07:05:48.219581,41.90975475,12.52980651
935917,346,2014-02-02 07:06:03.180864,41.90975475,12.52980651
935962,346,2014-02-02 07:06:18.156949,41.90975475,12.52980651
936012,346,2014-02-02 07:06:33.200511,41.90975475,12.52980651
936063,346,2014-02-02 07:06:48.079158,41.90975475,12.52980651
936111,346,2014-02-02 07:07:03.119285,41.90975475,12.52980651
936155,346,2014-02-02 07:07:18.199180,41.90975475,12.52980651
936204,346,2014-02-02 07:07:33.109836,41.90975475,12.52980651
936254,346,2014-02-02 07:07:48.219334,41.90975475,12.52980651
936303,346,2014-02-02 07:08:02.952263,41.90975475,12.52980651
936350,346,2014-02-02 07:08:18.170986,41.90975475,12.52980651
936400,346,2014-02-02 07:08:33.158500,41.90975475,12.52980651
936445,346,2014-02-02 07:08:48.190394,41.90975475,12.52980651
936496,346,2014-02-02 07:09:03.180464,41.90975475,12.52980651
936543,346,2014-02-02 07:09:18.203570,41.90975475,12.52980651
936589,346,2014-02-02 07:09:33.192505,41.90975475,12.52980651
936637,346,2014-02-02 07:09:48.168695,41.90975475,12.52980651
936684,346,2014-02-02 07:10:03.167122,41.90975475,12.52980651
936734,346,2014-02-02 07:10:18.050579,41.90975475,12.52980651
936781,346,2014-02-02 07:10:33.127902,41.90992225,12.52996553
936828,346,2014-02-02 07:10:48.445029,41.90998179,12.53013353
