lot_id@address@number_of_spots@facility_name@facility_type@weekday_allowed_time@saturday_allowed_time@sunday_allowed_time@rate_1hr@rate_2hr@rate_3hr@rate_allday@disabled_spot_count@latitude@longitude
1@1801 6TH AV, SEATTLE, WA   98101@30@Vance BOA - Lot #60@SURFACE LOT@24 hours@24 hours@24 hours@9.0@18.0@-1.0@24.0@1@30.85823305926488@120.97487906044789
2@2120 5TH AV, SEATTLE, WA   98121@28@2120 5th Avenue - Lot #13@SURFACE LOT@24 hours@24 hours@24 hours@5.0@5.0@-1.0@17.0@0@30.880071718509505@120.90656465849602
3@600 STEWART ST, SEATTLE, WA   98101@100@Plaza 600 - Lot #33@GARAGE@24 hours@24 hours@24 hours@10.0@14.0@14.0@32.0@0@30.86628292516512@120.96976613498225
4@1109 WESTERN AV, SEATTLE, WA 98101@194@Waterfront Place - Lot 103@GARAGE@@@@6.0@-1.0@-1.0@-1.0@0@30.759888348728605@120.95658044131345
5@1903 5TH AVE, SEATTLE, WA 98101@48@5th & Stewart Park LLC - Lot #106@GARAGE@@@@11.0@-1.0@-1.0@-1.0@0@30.855108726494468@120.95034951984515
6@515 MINOR AVE, SEATTLE, WA 98101@297@First Hill Medical Building - Lot #132@GARAGE, SURFACE LOT@@@@7.0@9.0@-1.0@-1.0@0@30.784039222722875@121.23557454795376
7@1401 BROADWAY, SEATTLE, WA   98122@277@Harvard Market Lot #72@GARAGE/SURFACE LOT@6:00am - 12:00am@6:00am - 12:00am@6:00am - 12:00am@5.0@-1.0@-1.0@21.0@0@30.858079113412874@121.24149357259863
8@314 BELL ST, SEATTLE, WA   98121@21@@SURFACE LOT@24 hours@24 hours@24 hours@6.0@6.0@9.0@14.0@0@30.88168885022861@120.84551929779454
9@1935 2ND AV, SEATTLE, WA   98101@16@@SURFACE LOT@24 hours@24 hours@24 hours@9.0@9.0@12.0@33.0@1@30.838561128598045@120.89175224505811
10@2225 ALASKAN WY, SEATTLE, WA   98121@29@@SURFACE LOT@6:00am - 4:30pm@6:00am - 4:30pm@6:00am - 4:30pm@2.0@4.0@6.0@12.0@0@30.837665791717992@120.7627166809129
11@333 TAYLOR AV N, SEATTLE, WA   98109@21@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.956550515851482@120.81334158346888
12@2200 ALASKAN WY, SEATTLE, WA   98121@37@World Trade Center West@GARAGE@6:00am - 1:00am@6:00am - 2:00am@6:00am - 1:00am@6.0@12.0@14.0@22.0@0@30.83530053736994@120.79648531134674
